database,Subject,Identified_features,Original_Tags,Generated_Tags
ajiosmart,12 HOURS! THE FRESH GOING FAST SALE: MIN.40% + EXTRA 50% OFF!,"extra,discount,sale,min_max,new",cat_discount,cat_discount
ajiosmart,"Puma, Biba, UCB, and other top brands at amazing prices!","brand,price",cat_brand,cat_brand
ajiosmart,"hashtag AJIOrecommends: Wedges to statement sneaks, and more!","#,extra,product_category",cat_productcategory,cat_productcategory
ajiosmart,"hashtag AJIOrecommends: Floral prints, athleisure, wedges","#,product_category",cat_productcategory,cat_productcategory
ajiosmart,"hashtag AJIOrecommends: Skate style, Global focus, statement sneaks","#,product_category,style",cat_productcategory,cat_productcategory
ajiosmart,Explore the best of deals at Treat Street!,deal,cat_discount,cat_discount
ajiosmart,Exclusive treats for you on our 2nd b day!,"special_day,you",cat_special,cat_special
ajiosmart,Your exclusive treat is here! Enjoy FLAT 50% OFF on Indie Essentials,"discount,product_category,enjoy,you,collection","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,"Flat 60% OFF on Jack and Jones, Vero Moda, and Only","brand,discount","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Hereâ€™s your treat on our 2nd bâ€™day: Flat 61% OFF!,"discount,special_day,you","cat_discount,cat_special","cat_discount,cat_special"
ajiosmart,Score Flat 61% OFF on Indie Essentials NOW!,"discount,product_category,collection","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Up to 60% OFF on most-wanted brands!,"brand,discount","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Shopping on a budget? Youâ€™ve come to the right place!,"budget,you",cat_other,cat_other
ajiosmart,"Tops, kurtas, and shoes, at never-before prices!","before,product_category,price",cat_productcategory,cat_productcategory
ajiosmart,"Tees, shirts, and shoes, at never-before prices!","before,product_category,price",cat_productcategory,cat_productcategory
ajiosmart,hashtag AJIOrecommends Grab the latest trends this season!,"#,get,new,season",cat_seasonal,cat_seasonal
ajiosmart,"From floral prints to block heels, grab all the season faves!","get,product_category,season","cat_seasonal,cat_productcategory","cat_seasonal,cat_productcategory"
ajiosmart,"From sporty vibes to summer staples, here are the latest trends!","product_category,new,season,collection","cat_seasonal,cat_productcategory","cat_seasonal,cat_productcategory"
ajiosmart,Extra Rs.1000 OFF on new arrivals + Denim-on-denim inspo,"amount,extra,budget,discount,product_category,new,launch","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Pretty Pochampally Ikat at Flat 40-60% off,"discount,product_category","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Min. 65% OFF! You donâ€™t wanna miss this!,"discount,min_max,you",cat_discount,cat_discount
ajiosmart,Bag Flat 40-60% OFF on our new season collection,"discount,new,season,collection","cat_discount,cat_seasonal,cat_productcategory","cat_discount,cat_seasonal,cat_productcategory"
ajiosmart,Leviâ€™s one-day only offer: Flat 50% OFF!,"brand,complimentary,deal,discount","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Say what? Flat 60-80% OFF on clearance styles.,"clear,discount,style","cat_discount,cat_exchange_clearance","cat_discount,cat_exchange_clearance"
ajiosmart,Buy 3 Styles from AJIO Exclusives and Get Extra 40% OFF!,"extra,discount,get,style",cat_discount,cat_discount
ajiosmart,Grab Rs. 750 cashback on your next flight ticket!,"amount,budget,cash,get,ticket,you",cat_discount,cat_discount
ajiosmart,Here it comes! Rs.1000 OFF on your next AJIO order,"amount,budget,discount,you",cat_discount,cat_discount
ajiosmart,"Indieâ€™s Spring colours, at min. 40% OFF","color,discount,product_category,min_max,season","cat_discount,cat_seasonal,cat_productcategory","cat_discount,cat_seasonal,cat_productcategory"
ajiosmart,Unmissable styles for under Rs. 999 ðŸ˜²,"amount,budget,discount,style",cat_discount,cat_discount
ajiosmart,"From asymmetrical to checks, catch up on the trends from last week","product_category,periodic",cat_productcategory,cat_productcategory
ajiosmart,"Ethnic to western, hereâ€™s the top trends to ace",product_category,cat_productcategory,cat_productcategory
ajiosmart,"Sneakers to denims, ace every trend like a pro","product_category,recommendation",cat_productcategory,cat_productcategory
ajiosmart,Min. 65% OFF on Rs. 3590. Today only!,"amount,budget,discount,min_max",cat_discount,cat_discount
ajiosmart,"Ladies! Buy 3, get extra 40% OFF on AJIO Exclusives!","extra,discount,get,ladies","cat_discount,cat_ladies","cat_discount,cat_ladies"
